Country Name,Country Code,Time,Time Code,Gross value added at basic prices (GVA) (current LCU) [NY.GDP.FCST.CN],"Official exchange rate (LCU per US$, period average) [PA.NUS.FCRF]","Foreign direct investment, net inflows (% of GDP) [BX.KLT.DINV.WD.GD.ZS]","Foreign direct investment, net outflows (% of GDP) [BM.KLT.DINV.WD.GD.ZS]",Imports of goods and services (constant LCU) [NE.IMP.GNFS.KN],Exports of goods and services (constant LCU) [NE.EXP.GNFS.KN],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]"
Canada,CAN,2009,YR2009,1.47E+12,1.141535406,1.524131181,2.745409301,5.20E+11,4.90E+11,0.299466803
Canada,CAN,2010,YR2010,1.56E+12,1.030112735,1.837256387,2.246981822,5.92E+11,5.23E+11,1.776871541
Canada,CAN,2011,YR2011,1.66E+12,0.989258159,2.137833108,2.793396523,6.25E+11,5.48E+11,2.912135089
Canada,CAN,2012,YR2012,1.71E+12,0.999364744,2.700169009,3.404593801,6.48E+11,5.63E+11,1.515678231
Canada,CAN,2013,YR2013,1.78E+12,1.030137364,3.629803984,2.949458833,6.61E+11,5.77E+11,0.938291898
Canada,CAN,2014,YR2014,1.87E+12,1.104747132,3.55390337,3.598493803,6.78E+11,6.13E+11,1.906635907
Canada,CAN,2015,YR2015,1.86E+12,1.278786204,3.853894537,5.391157447,6.83E+11,6.34E+11,1.125241361
Canada,CAN,2016,YR2016,1.89E+12,1.325615164,2.238350121,4.42448955,6.83E+11,6.44E+11,1.428759547
Canada,CAN,2017,YR2017,1.99E+12,1.297935846,1.53752072,4.740763695,7.16E+11,6.53E+11,1.596884129
Canada,CAN,2018,YR2018,2.08E+12,1.295817928,2.469312073,3.637583809,7.41E+11,6.77E+11,2.268225672
Canada,CAN,2019,YR2019,2.16E+12,1.326793363,2.80676687,4.353193532,7.40E+11,6.92E+11,1.949269024
Canada,CAN,2020,YR2020,2.08E+12,1.341152672,1.758970857,2.864626165,6.71E+11,6.30E+11,0.716999632
Canada,CAN,2021,YR2021,2.35E+12,1.253876902,2.945251489,5.163418665,7.25E+11,6.47E+11,3.395193185
Canada,CAN,2022,YR2022,2.63E+12,1.301554775,2.312516526,4.040172116,7.81E+11,6.68E+11,6.802801153
Canada,CAN,2023,YR2023,2.70E+12,1.349908641,2.228511055,3.872835394,7.87E+11,7.04E+11,3.879001598
Australia,AUS,1974,YR1974,,0.696665869,1.492412148,0.270761599,44810000000,70765000000,15.41666667
Australia,AUS,1975,YR1975,,0.763871249,0.461468108,0.165482733,45963000000,77687000000,15.16245487
Australia,AUS,1976,YR1976,,0.818284082,0.996866073,0.254741739,43709000000,80723000000,13.32288401
Australia,AUS,1977,YR1977,,0.901824999,1.033980444,0.24116162,47870000000,86490000000,12.30982019
Australia,AUS,1978,YR1978,,0.873659249,1.415154475,0.198991005,45627000000,88438000000,8.004926108
Australia,AUS,1979,YR1979,,0.894640916,1.104504435,0.25437574,49309000000,94713000000,9.122006842
Australia,AUS,1980,YR1980,,0.878244332,1.244250976,0.306697617,49358000000,1.01E+11,10.13584117
Australia,AUS,1981,YR1981,,0.870214582,1.326516499,0.414455204,54026000000,96483000000,9.487666034
Australia,AUS,1982,YR1982,,0.985862832,1.178263041,0.357033566,60275000000,98761000000,11.35181976
Australia,AUS,1983,YR1983,,1.110014999,1.687262232,0.292221621,55188000000,99275000000,10.03891051
Australia,AUS,1984,YR1984,,1.139519166,0.221289107,0.725084595,58493000000,1.07E+11,3.96039604
Australia,AUS,1985,YR1985,,1.431895,1.16175097,1.044222752,68226000000,1.23E+11,6.734693878
Australia,AUS,1986,YR1986,,1.495974166,2.94263882,1.87335428,68066000000,1.28E+11,9.050350542
Australia,AUS,1987,YR1987,,1.42818,2.739123064,2.691087721,64847000000,1.41E+11,8.533021625
Australia,AUS,1988,YR1988,,1.279908333,3.589231903,2.898778684,72126000000,1.53E+11,7.215939688
Australia,AUS,1989,YR1989,,1.264596667,2.67549684,1.008573783,90072000000,1.54E+11,7.533902562
Australia,AUS,1990,YR1990,3.74E+11,1.281056667,2.715816532,0.203283216,95132000000,1.62E+11,7.333021952
Australia,AUS,1991,YR1991,3.83E+11,1.283755833,0.801308066,-0.359553322,89695000000,1.80E+11,3.17667537
Australia,AUS,1992,YR1992,3.89E+11,1.361648333,1.518132527,1.178201425,92833000000,1.97E+11,1.012231126
Australia,AUS,1993,YR1993,4.12E+11,1.47056,1.701973012,0.815607941,98955000000,2.11E+11,1.753653445
Australia,AUS,1994,YR1994,4.33E+11,1.367750833,1.38116249,0.5662266,1.06E+11,2.31E+11,1.969634797
Australia,AUS,1995,YR1995,4.56E+11,1.3490325,3.604046631,1.098865461,1.24E+11,2.42E+11,4.6277666
Australia,AUS,1996,YR1996,4.86E+11,1.277863333,1.137173235,1.2474142,1.30E+11,2.66E+11,2.615384615
Australia,AUS,1997,YR1997,5.12E+11,1.34738,1.856583533,1.396130978,1.42E+11,2.95E+11,0.224887556
Australia,AUS,1998,YR1998,5.42E+11,1.591828333,1.900950002,1.167612267,1.57E+11,3.08E+11,0.86013463
Australia,AUS,1999,YR1999,5.72E+11,1.54995,0.567408043,0.07990842,1.65E+11,3.14E+11,1.483129403
Australia,AUS,2000,YR2000,6.10E+11,1.724826667,3.578599219,0.983982741,1.85E+11,3.45E+11,4.457435148
Australia,AUS,2001,YR2001,6.46E+11,1.9334425,2.823052147,3.524709281,1.83E+11,3.75E+11,4.407135362
Australia,AUS,2002,YR2002,6.92E+11,1.8405625,3.703067305,1.762139782,1.86E+11,3.73E+11,2.981574539
Australia,AUS,2003,YR2003,7.32E+11,1.541914167,1.920995362,3.976112668,2.10E+11,3.75E+11,2.732595966
Australia,AUS,2004,YR2004,7.88E+11,1.3597525,6.980716853,1.591944791,2.38E+11,3.80E+11,2.343255225
Australia,AUS,2005,YR2005,8.50E+11,1.309473333,-3.606927925,-4.702275134,2.68E+11,3.93E+11,2.691831683
Australia,AUS,2006,YR2006,9.20E+11,1.327973441,4.082092962,3.217793605,2.91E+11,4.05E+11,3.555287737
Australia,AUS,2007,YR2007,1.00E+12,1.1950725,5.197717937,1.68662645,3.21E+11,4.21E+11,2.327611289
Australia,AUS,2008,YR2008,1.09E+12,1.192178333,4.277015978,3.019344591,3.68E+11,4.38E+11,4.35029855
Australia,AUS,2009,YR2009,1.18E+12,1.28218881,3.115218929,1.234314348,3.54E+11,4.49E+11,1.771117166
Australia,AUS,2010,YR2010,1.21E+12,1.090159486,3.094839434,1.572769778,3.79E+11,4.70E+11,2.918340027
Australia,AUS,2011,YR2011,1.32E+12,0.969463201,4.688815155,0.589916832,4.18E+11,4.74E+11,3.303850156
Australia,AUS,2012,YR2012,1.41E+12,0.965801031,3.720199337,0.372441286,4.65E+11,4.96E+11,1.762780156
Australia,AUS,2013,YR2013,1.44E+12,1.035843097,3.453927666,-0.048804403,4.69E+11,5.22E+11,2.449888641
Australia,AUS,2014,YR2014,1.49E+12,1.109363293,4.304706644,1.536907407,4.56E+11,5.54E+11,2.487922705
Australia,AUS,2015,YR2015,1.51E+12,1.331090262,3.470209018,0.611176739,4.63E+11,5.92E+11,1.508366722
Australia,AUS,2016,YR2016,1.54E+12,1.345213976,3.560565952,-0.257586077,4.63E+11,6.30E+11,1.276990945
Australia,AUS,2017,YR2017,1.64E+12,1.304758077,3.636089515,0.754751758,4.89E+11,6.65E+11,1.948647409
Australia,AUS,2018,YR2018,1.72E+12,1.338412146,4.250333048,0.072261405,5.25E+11,6.92E+11,1.911400944
Australia,AUS,2019,YR2019,1.82E+12,1.438506544,2.781967875,0.638945695,5.28E+11,7.19E+11,1.610767873
Australia,AUS,2020,YR2020,1.86E+12,1.453085118,1.353256055,0.556991975,4.93E+11,7.07E+11,0.846905537
Australia,AUS,2021,YR2021,1.95E+12,1.33122426,2.024681946,0.461333268,4.78E+11,6.47E+11,2.863910422
Australia,AUS,2022,YR2022,2.18E+12,1.441664459,4.161495042,7.377687126,5.13E+11,6.45E+11,6.594096713
Australia,AUS,2023,YR2023,2.41E+12,1.505191066,1.880806481,0.84578318,5.76E+11,6.88E+11,5.597014925
Singapore,SGP,1974,YR1974,12363400000,2.436866666,6.515152318,0.573710638,18609400000,17436300000,22.36842105
Singapore,SGP,1975,YR1975,13240900000,2.371299999,5.179977656,0.673696516,17493300000,16984400000,2.536531569
Singapore,SGP,1976,YR1976,14467300000,2.470841666,3.646084696,0.71002702,19136700000,19016100000,-1.841892982
Singapore,SGP,1977,YR1977,15746700000,2.439399999,4.403737524,1.288294522,20955600000,21715900000,3.163950144
Singapore,SGP,1978,YR1978,17647300000,2.274024999,3.989646352,1.509279705,23708500000,24223100000,4.872543813
Singapore,SGP,1979,YR1979,20325000000,2.174558333,8.992566174,1.800491797,28992100000,29899100000,4.076465375
Singapore,SGP,1980,YR1980,24909700000,2.141208333,10.38772838,0.820497064,35167400000,36473300000,8.526943194
Singapore,SGP,1981,YR1981,29259100000,2.112691666,11.71034171,-0.103513143,38642900000,40571500000,8.182021968
Singapore,SGP,1982,YR1982,32791200000,2.140024999,9.959122803,1.891303659,40992100000,42541300000,3.91628678
Singapore,SGP,1983,YR1983,36651600000,2.113049999,6.375949254,0.276752388,43000900000,44939200000,1.196410768
Singapore,SGP,1984,YR1984,40169900000,2.133083333,6.591966731,0.467633218,46473600000,48814000000,2.600985222
Singapore,SGP,1985,YR1985,39324400000,2.20015,5.464176773,1.240887734,44604600000,47214200000,0.480122911
Singapore,SGP,1986,YR1986,39446300000,2.177416667,9.201629956,0.976005326,49472200000,53285300000,-1.385703364
Singapore,SGP,1987,YR1987,43738600000,2.105983333,13.5578926,0.985120608,56052500000,60818300000,0.523306522
Singapore,SGP,1988,YR1988,51049200000,2.012425,14.40513959,0.46417649,70995600000,78883500000,1.523185192
Singapore,SGP,1989,YR1989,58126700000,1.950258333,9.47499553,2.895717246,77812500000,86683800000,2.345456272
Singapore,SGP,1990,YR1990,67224700000,1.812533333,15.42354724,5.626838029,89091600000,98019600000,3.460753387
Singapore,SGP,1991,YR1991,75153800000,1.72755,10.74886004,1.156533391,95488400000,1.06E+11,3.425701731
Singapore,SGP,1992,YR1992,80628500000,1.628966667,4.228441213,2.526254577,1.03E+11,1.14E+11,2.263071187
Singapore,SGP,1993,YR1993,92359400000,1.615790833,7.732701253,3.550745798,1.22E+11,1.34E+11,2.289299644
Singapore,SGP,1994,YR1994,1.05E+11,1.527444167,11.60308486,6.211340582,1.42E+11,1.58E+11,3.100132626
Singapore,SGP,1995,YR1995,1.16E+11,1.417375,13.60039465,8.517530871,1.74E+11,1.92E+11,1.720533848
Singapore,SGP,1996,YR1996,1.27E+11,1.410040833,11.872466,9.765926509,1.92E+11,2.09E+11,1.383180525
Singapore,SGP,1997,YR1997,1.39E+11,1.484805833,15.68237091,12.40761209,2.13E+11,2.31E+11,2.003586185
Singapore,SGP,1998,YR1998,1.36E+11,1.673601667,6.950624804,4.224014937,1.95E+11,2.21E+11,-0.267502293
Singapore,SGP,1999,YR1999,1.38E+11,1.694956667,21.84920346,9.630674874,2.13E+11,2.38E+11,0.016709834
Singapore,SGP,2000,YR2000,1.54E+11,1.723963333,16.14889045,7.128012223,2.56E+11,2.73E+11,1.361623924
Singapore,SGP,2001,YR2001,1.51E+11,1.7917225,18.93986069,22.50090133,2.39E+11,2.63E+11,0.997197956
Singapore,SGP,2002,YR2002,1.57E+11,1.790588333,6.653665882,3.063884894,2.52E+11,2.82E+11,-0.391676867
Singapore,SGP,2003,YR2003,1.61E+11,1.742183333,17.46241537,3.815529558,2.77E+11,3.21E+11,0.5079053
Singapore,SGP,2004,YR2004,1.85E+11,1.690228333,21.20272375,11.4215157,3.40E+11,3.83E+11,1.662727199
Singapore,SGP,2005,YR2005,2.03E+11,1.6643975,15.11335885,9.821407992,3.79E+11,4.32E+11,0.425106277
Singapore,SGP,2006,YR2006,2.26E+11,1.588933333,26.3271523,13.49892247,4.18E+11,4.80E+11,0.962901778
Singapore,SGP,2007,YR2007,2.57E+11,1.507101667,26.16198888,22.59415324,4.49E+11,5.21E+11,2.104880036
Singapore,SGP,2008,YR2008,2.60E+11,1.414860833,7.023286082,4.113468465,4.98E+11,5.48E+11,6.627781774
Singapore,SGP,2009,YR2009,2.68E+11,1.454514713,12.07109441,16.50248471,4.48E+11,5.09E+11,0.596720257
Singapore,SGP,2010,YR2010,3.09E+11,1.363508333,23.06947168,14.7648093,5.21E+11,5.99E+11,2.823661349
Singapore,SGP,2011,YR2011,3.31E+11,1.257775877,17.59603141,11.41917173,5.51E+11,6.45E+11,5.247793398
Singapore,SGP,2012,YR2012,3.48E+11,1.249676204,18.74352442,6.940331677,5.65E+11,6.54E+11,4.575602704
Singapore,SGP,2013,YR2013,3.63E+11,1.2513,20.93448104,14.7211671,6.02E+11,6.94E+11,2.358604154
Singapore,SGP,2014,YR2014,3.77E+11,1.26705,21.81848808,16.66673769,6.19E+11,7.20E+11,1.02514803
Singapore,SGP,2015,YR2015,3.99E+11,1.374825,22.65418269,14.68292981,6.40E+11,7.55E+11,-0.522618167
Singapore,SGP,2016,YR2016,4.14E+11,1.381546364,20.48652361,12.37922148,6.41E+11,7.56E+11,-0.53226874
Singapore,SGP,2017,YR2017,4.45E+11,1.380925,29.76365175,19.32470543,6.94E+11,8.13E+11,0.57626031
Singapore,SGP,2018,YR2018,4.82E+11,1.348841667,21.7592915,6.348248422,7.48E+11,8.80E+11,0.438620118
Singapore,SGP,2019,YR2019,4.88E+11,1.364158333,28.09499358,17.98241097,7.47E+11,8.80E+11,0.565260569
Singapore,SGP,2020,YR2020,4.60E+11,1.379741667,23.10030052,11.38608059,7.35E+11,8.78E+11,-0.181916667
Singapore,SGP,2021,YR2021,5.53E+11,1.343483333,31.62074002,14.13646094,8.05E+11,9.59E+11,2.30485959
Singapore,SGP,2022,YR2022,6.55E+11,1.378666667,29.8437976,10.47803144,8.32E+11,9.88E+11,6.12106004
Singapore,SGP,2023,YR2023,6.39E+11,1.342766667,34.94851531,12.56357988,8.40E+11,1.01E+12,4.821467295
Japan,JPN,1974,YR1974,1.42E+14,292.0825,0.041221479,0.410582256,2.19E+13,1.20E+13,23.22224581
Japan,JPN,1975,YR1975,1.57E+14,296.7875,0.042412527,0.330855241,1.97E+13,1.19E+13,11.73126615
Japan,JPN,1976,YR1976,1.76E+14,296.5525,0.018868432,0.332451748,2.10E+13,1.38E+13,9.374036386
Japan,JPN,1977,YR1977,1.95E+14,268.51,0.002849122,0.223181188,2.19E+13,1.54E+13,8.161826896
Japan,JPN,1978,YR1978,2.15E+14,210.4416667,0.00077249,0.228946839,2.34E+13,1.54E+13,4.209566011
Japan,JPN,1979,YR1979,2.34E+14,219.14,0.022172536,0.268853595,2.64E+13,1.61E+13,3.701850925
Japan,JPN,1980,YR1980,2.53E+14,226.7408333,0.024615336,0.21117833,2.43E+13,1.88E+13,7.778581766
Japan,JPN,1981,YR1981,2.71E+14,220.5358333,0.015178024,0.393022474,2.49E+13,2.13E+13,4.912162918
Japan,JPN,1982,YR1982,2.85E+14,249.0766667,0.03788626,0.39180779,2.48E+13,2.16E+13,2.741040956
Japan,JPN,1983,YR1983,2.97E+14,237.5116667,0.032733741,0.284217005,2.40E+13,2.27E+13,1.899719713
Japan,JPN,1984,YR1984,3.15E+14,237.5225,-0.000743039,0.443222723,2.65E+13,2.62E+13,2.261613692
Japan,JPN,1985,YR1985,3.36E+14,238.5358333,0.042656252,0.45129845,2.58E+13,2.76E+13,2.032277346
Japan,JPN,1986,YR1986,3.51E+14,168.5198333,0.011419726,0.679333748,2.69E+13,2.62E+13,0.595586799
Japan,JPN,1987,YR1987,3.69E+14,144.6375,0.045623287,0.778864249,2.95E+13,2.62E+13,0.126176842
Japan,JPN,1988,YR1988,3.96E+14,128.1516667,-0.015478027,1.133690619,3.51E+13,2.80E+13,0.67855758
Japan,JPN,1989,YR1989,4.24E+14,137.9644167,-0.034079822,1.487437356,4.13E+13,3.07E+13,2.272289621
Japan,JPN,1990,YR1990,4.58E+14,144.7925,1.593735851,1.593735851,4.47E+13,3.30E+13,3.078516287
Japan,JPN,1991,YR1991,4.87E+14,134.7066667,0.86726223,0.86726223,4.42E+13,3.48E+13,3.251438488
Japan,JPN,1992,YR1992,5.00E+14,126.6513333,0.434703264,0.434703264,4.39E+13,3.64E+13,1.760283061
Japan,JPN,1993,YR1993,5.04E+14,111.1977858,0.306660845,0.306660845,4.33E+13,3.67E+13,1.243045897
Japan,JPN,1994,YR1994,5.08E+14,102.2078058,0.362504994,0.362504994,4.69E+13,3.83E+13,0.695458058
Japan,JPN,1995,YR1995,5.17E+14,94.05957917,0.408079929,0.408079929,5.30E+13,3.99E+13,-0.127899045
Japan,JPN,1996,YR1996,5.31E+14,108.7790567,-0.000775961,0.536266324,5.93E+13,4.18E+13,0.136600359
Japan,JPN,1997,YR1997,5.42E+14,120.9908625,0.055358119,0.53394472,5.96E+13,4.65E+13,1.747804587
Japan,JPN,1998,YR1998,5.36E+14,130.9053007,0.061293304,0.483244008,5.55E+13,4.54E+13,0.661974191
Japan,JPN,1999,YR1999,5.29E+14,113.906805,0.318821542,0.523338252,5.76E+13,4.63E+13,-0.341296928
Japan,JPN,2000,YR2000,5.36E+14,107.7654983,0.215124715,0.906284999,6.31E+13,5.23E+13,-0.676578684
Japan,JPN,2001,YR2001,5.29E+14,121.5289475,0.112602474,0.815148296,6.38E+13,4.88E+13,-0.740055504
Japan,JPN,2002,YR2002,5.24E+14,125.3880192,0.27630407,0.738773361,6.43E+13,5.27E+13,-0.923494027
Japan,JPN,2003,YR2003,5.24E+14,115.9334642,0.194079344,0.762564559,6.65E+13,5.77E+13,-0.256541816
Japan,JPN,2004,YR2004,5.30E+14,108.1925692,0.153847736,0.830017787,7.22E+13,6.60E+13,-0.008573388
Japan,JPN,2005,YR2005,5.35E+14,110.2182117,0.113001254,1.069344224,7.64E+13,7.07E+13,-0.282946069
Japan,JPN,2006,YR2006,5.36E+14,116.2993117,-0.052087901,1.26372738,8.00E+13,7.80E+13,0.249355116
Japan,JPN,2007,YR2007,5.40E+14,117.7535292,0.472322727,1.593748009,8.19E+13,8.48E+13,0.060039454
Japan,JPN,2008,YR2008,5.28E+14,103.359494,0.482208589,2.225392099,8.25E+13,8.62E+13,1.380078862
Japan,JPN,2009,YR2009,4.95E+14,93.57008909,0.231146375,1.392895599,6.96E+13,6.60E+13,-1.35283673
Japan,JPN,2010,YR2010,5.05E+14,87.779875,0.12920449,1.383148483,7.75E+13,8.24E+13,-0.728243208
Japan,JPN,2011,YR2011,4.95E+14,79.80701983,-0.013648274,1.874417447,8.19E+13,8.23E+13,-0.272455616
Japan,JPN,2012,YR2012,4.98E+14,79.79045542,0.008720202,1.875407291,8.64E+13,8.25E+13,-0.04406451
Japan,JPN,2013,YR2013,5.05E+14,97.59565828,0.204293384,2.986853415,8.91E+13,8.31E+13,0.335037912
Japan,JPN,2014,YR2014,5.15E+14,105.944781,0.403354543,2.816512085,9.64E+13,9.09E+13,2.759226714
Japan,JPN,2015,YR2015,5.35E+14,121.0440257,0.118161988,3.113997056,9.68E+13,9.38E+13,0.795279631
Japan,JPN,2016,YR2016,5.42E+14,108.7929,0.818481615,3.569582259,9.57E+13,9.53E+13,-0.127258844
Japan,JPN,2017,YR2017,5.51E+14,112.1661411,0.381319638,3.523747062,9.88E+13,1.02E+14,0.484199796
Japan,JPN,2018,YR2018,5.54E+14,110.4231793,0.501685482,3.178379096,1.03E+14,1.05E+14,0.989094598
Japan,JPN,2019,YR2019,5.55E+14,109.0096659,0.780785313,5.046593108,1.04E+14,1.04E+14,0.468776159
Japan,JPN,2020,YR2020,5.38E+14,106.7745823,1.237931782,2.969352294,9.66E+13,9.19E+13,-0.024995834
Japan,JPN,2021,YR2021,5.49E+14,109.7543238,0.695725962,4.164997692,1.02E+14,1.03E+14,-0.233352779
Japan,JPN,2022,YR2022,5.56E+14,131.4981404,1.127819293,4.108185939,1.10E+14,1.08E+14,2.497702782
Japan,JPN,2023,YR2023,,140.4911001,0.475297449,4.33035119,1.08E+14,1.11E+14,3.268133659
Argentina,ARG,1974,YR1974,6.519309998,5.00E-11,0.024738815,0.003307712,17830980859,20086887499,
Argentina,ARG,1975,YR1975,19.40229988,3.66E-10,0.106009598,0.008556666,18157378008,18219980332,
Argentina,ARG,1976,YR1976,102.3389969,1.40E-09,0.478175477,0.003013514,14342314576,23962491157,
Argentina,ARG,1977,YR1977,283.9049988,4.08E-09,0.253605959,-0.001761152,19667145818,30508509842,
Argentina,ARG,1978,YR1978,708.611023,7.96E-09,0.280742881,-0.025828345,18647028589,33225985161,
Argentina,ARG,1979,YR1979,1932.140015,1.32E-08,0.29746292,-0.085195691,28827277695,32162587461,
Argentina,ARG,1980,YR1980,3840.399902,1.84E-08,0.88095511,-0.14292782,42190516651,30508509842,
Argentina,ARG,1981,YR1981,7474.299805,4.40E-08,1.06384544,-0.135999357,38714471943,32096144172,
Argentina,ARG,1982,YR1982,21852.5,2.59E-07,0.269252481,-0.035584028,22229860360,33362835322,
Argentina,ARG,1983,YR1983,109490,1.05E-06,0.177920359,0.001923463,20690725799,34224465858,
Argentina,ARG,1984,YR1984,790920,6.76E-06,0.229226259,0.037256965,21664247493,33337539588,
Argentina,ARG,1985,YR1985,5305000,6.02E-05,1.042530577,0.048041542,18839678146,38522868446,
Argentina,ARG,1986,YR1986,9984100,9.43E-05,0.542162215,0.010578576,22205846738,34566438421,
Argentina,ARG,1987,YR1987,23332300,0.00021443,-0.017461488,0.044233582,24756225474,33362835322,
Argentina,ARG,1988,YR1988,111062000,0.00087526,0.903930866,-0.017871437,22476661049,39608213169,
Argentina,ARG,1989,YR1989,3244039936,0.042333961,1.341515906,0.084041228,18764261080,42551231628,
Argentina,ARG,1990,YR1990,68921999360,0.487589083,1.298879263,0.02469214,18407755697,50215390648,
Argentina,ARG,1991,YR1991,1.81E+11,0.953554417,1.285578854,0.026030832,33144213200,48395512400,
Argentina,ARG,1992,YR1992,2.27E+11,0.990641667,1.936794516,0.509624888,54914645400,47897186500,
Argentina,ARG,1993,YR1993,2.18E+11,0.998945833,1.179802812,0.29782246,63045642300,49805026600,
Argentina,ARG,1994,YR1994,2.37E+11,0.999008333,1.411953029,0.393429149,76367838000,57422988800,
Argentina,ARG,1995,YR1995,2.39E+11,0.99975,2.17392759,0.580218907,68878726600,70359322800,
Argentina,ARG,1996,YR1996,2.51E+11,0.9996625,2.553203406,0.588186835,80952541200,75739555900,
Argentina,ARG,1997,YR1997,2.70E+11,0.9995,3.127877939,1.247295798,1.03E+11,84962695500,
Argentina,ARG,1998,YR1998,2.75E+11,0.9995,2.438768962,0.777886139,1.11E+11,93988616600,
Argentina,ARG,1999,YR1999,2.62E+11,0.9995,8.460582171,0.610279589,98802087300,92804098800,
Argentina,ARG,2000,YR2000,2.63E+11,0.9995,3.665790595,0.317035999,98646406200,95312028700,
Argentina,ARG,2001,YR2001,2.51E+11,0.9995,0.806164135,0.059872956,84888604200,97924522600,
Argentina,ARG,2002,YR2002,2.95E+11,3.063256667,2.198958195,-0.641746114,42393747600,1.01E+11,
Argentina,ARG,2003,YR2003,3.52E+11,2.900629167,1.294810869,0.606472572,58319116400,1.07E+11,
Argentina,ARG,2004,YR2004,4.12E+11,2.923300819,2.505017516,0.410542024,81717784000,1.16E+11,
Argentina,ARG,2005,YR2005,4.95E+11,2.9036575,2.649354415,0.659695665,94668607900,1.31E+11,
Argentina,ARG,2006,YR2006,6.08E+11,3.054313333,2.381068545,1.048653872,1.05E+11,1.38E+11,
Argentina,ARG,2007,YR2007,7.57E+11,3.095648849,2.251294236,0.523155949,1.26E+11,1.49E+11,
Argentina,ARG,2008,YR2008,9.64E+11,3.14416456,2.689900965,0.384705758,1.43E+11,1.50E+11,
Argentina,ARG,2009,YR2009,1.05E+12,3.710106831,1.206439226,0.213692689,1.16E+11,1.36E+11,
Argentina,ARG,2010,YR2010,1.39E+12,3.896295154,2.675161719,0.227738015,1.57E+11,1.55E+11,
Argentina,ARG,2011,YR2011,1.83E+12,4.110139576,2.044659979,0.280670981,1.92E+11,1.62E+11,
Argentina,ARG,2012,YR2012,2.21E+12,4.53693436,2.8066719,0.19320213,1.83E+11,1.55E+11,
Argentina,ARG,2013,YR2013,2.81E+12,5.459352665,1.779205536,0.161219625,1.90E+11,1.49E+11,
Argentina,ARG,2014,YR2014,3.84E+12,8.075275993,0.96240665,0.364900179,1.68E+11,1.39E+11,
Argentina,ARG,2015,YR2015,5.01E+12,9.233185525,1.977134618,0.14716003,1.76E+11,1.35E+11,
Argentina,ARG,2016,YR2016,6.95E+12,14.75817509,0.584748941,0.320435402,1.87E+11,1.42E+11,
Argentina,ARG,2017,YR2017,8.99E+12,16.56270693,1.789365041,0.179549291,2.16E+11,1.46E+11,
Argentina,ARG,2018,YR2018,1.25E+13,28.09499167,2.232531577,0.328871218,2.06E+11,1.47E+11,
Argentina,ARG,2019,YR2019,1.81E+13,48.14789167,1.485006876,0.340080899,1.67E+11,1.61E+11,
Argentina,ARG,2020,YR2020,2.28E+13,70.53916667,1.266169243,0.305173266,1.39E+11,1.33E+11,
Argentina,ARG,2021,YR2021,3.87E+13,94.99074167,1.368380832,0.317298745,1.64E+11,1.44E+11,
Argentina,ARG,2022,YR2022,6.96E+13,130.61655,2.402155349,0.330257487,1.94E+11,1.51E+11,
Argentina,ARG,2023,YR2023,1.61E+14,296.2580417,3.69401868,0.458358641,1.97E+11,1.40E+11,
Belgium,BEL,1974,YR1974,49876735000,38.9515,2.029158567,0.854852202,72906230000,70346236000,12.67788775
Belgium,BEL,1975,YR1975,54893706000,36.77891667,1.453450549,0.362098899,66284601000,64517775000,12.76819859
Belgium,BEL,1976,YR1976,61830178000,38.60516667,1.225906902,0.494713529,74494288000,72819288000,9.068609811
Belgium,BEL,1977,YR1977,66767244000,35.84275,1.539028796,0.561577174,78048355000,74377573000,7.096000591
Belgium,BEL,1978,YR1978,71574673000,31.49208333,1.418122729,0.552878228,80130926000,76077548000,4.470593316
Belgium,BEL,1979,YR1979,76591073000,29.31866667,0.97156477,1.152624111,87307366000,81400064000,4.469083949
Belgium,BEL,1980,YR1980,83496237000,29.24166667,1.217999173,0.154562059,85630197000,81277675000,6.648688297
Belgium,BEL,1981,YR1981,87335108000,37.12925,1.323832479,0.099102436,83973078000,84034204000,7.627486568
Belgium,BEL,1982,YR1982,94373213000,45.69058333,1.598528905,-0.07498703,85110700000,86369360000,8.726549066
Belgium,BEL,1983,YR1983,1.00E+11,51.13166667,1.479281134,0.406862529,84061940000,88637932000,7.661609837
Belgium,BEL,1984,YR1984,1.08E+11,57.78391667,0.467153203,0.351375706,89435615000,94374520000,6.34177491
Belgium,BEL,1985,YR1985,1.15E+11,59.378,1.218860737,0.343683744,89799849000,94688410000,4.868733995
Belgium,BEL,1986,YR1986,1.21E+11,44.67191667,0.608121459,1.435608574,93920676000,97280385000,1.294368191
Belgium,BEL,1987,YR1987,1.25E+11,37.33408333,1.576310715,1.862345525,1.00E+11,1.02E+11,1.553382613
Belgium,BEL,1988,YR1988,1.34E+11,36.76833333,3.211644354,2.331590202,1.11E+11,1.12E+11,1.160934934
Belgium,BEL,1989,YR1989,1.44E+11,39.404,4.274890291,3.949700567,1.21E+11,1.21E+11,3.107050651
Belgium,BEL,1990,YR1990,1.53E+11,33.41791667,3.07523803,3.07523803,1.27E+11,1.27E+11,3.44831218
Belgium,BEL,1991,YR1991,1.61E+11,34.14825,2.978908474,2.978908474,1.31E+11,1.30E+11,3.215310693
Belgium,BEL,1992,YR1992,1.69E+11,32.1495,4.858556826,4.858556826,1.36E+11,1.35E+11,2.427955672
Belgium,BEL,1993,YR1993,1.74E+11,34.59652083,2.182058035,2.182058035,1.36E+11,1.35E+11,2.754426435
